0,country code
1,Name
2,Country
3,Organization
4,Title
5,How do you identify?
6,Which of the below listed sectors do you represent?
7,For which country's national-level parliament are you submitting information?
8,Is the above listed parliament unicameral or bicameral?
9,For which chamber of the parliament are you submitting information?
10,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
11,"If the country's national action plan has included commitments that relate to the legislative process, please describe those commitments."
12,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
13,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
14,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
15,"If the parliament has taken any significant steps towards creating their own plan on parliamentary openness, please describe this process. Please also include links, if available."
16,Please describe any other ways in which the parliament has been involved in the OGP process or intends to be involved in the process in the future.
17,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
18,Please provide citations or links to relevant policies or guidelines and briefly describe the role that these policies play in ensuring that parliamentary information is open and accessible to the public.
19,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
20,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
21,"Please describe how parliamentary information is licensed, including specific references to legal documents or guidelines. Please provide links, if available."
22,Does the parliament officially require payment in exchange for access to certain parliamentary information?
23,"Please describe what information the parliament charges for, including details regarding which parliamentary information is not free and how much is charged for the information. Please provide links to relevant policies, if available."
24,"Does the parliament have a public website? If yes, please provide a link."
25,How frequently does the parliament update its website?
26,"In general, does the parliamentary website use stable URLs?"
27,How can an individual search for information on the parliament's website?
28,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
29,"Please describe how information on the parliament's website is linked to other relevant data or information. Please provide links to relevant examples, if available.  "
30,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
31,Are there multiple working or national languages recognized in the country?
32,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
33,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
34,What types of parliamentary information does the parliament make available in all official languages?
35,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
36,Please describe any best or innovative practices employed by the parliament to ensure that parliamentary information is accessible in additional languages and plain language. Please provide links where relevant.
37,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
38,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
39,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
45,"Please describe the available alert services. If alert services are available, please provide a link to a relevant page maintained by the parliament that discusses or describes available alert services."
46,Is general information on the parliament's constitutional roles and functions available to the public?
47,Is a complete version of the parliament's internal rules available to the public?
48,"Is a general, plain-language description of the parliament's structure or organization available to the public?"
49,"Is a general, plain-language description of the parliament's legislative process available to the public?"
50,Is the parliament's session calendar available to the public?
51,"Is the parliament's order of business, including its vote schedule, available to the public?"
52,"In general, how far in advance is the public notified of the order of business and vote schedule?"
